used_shortcut,name,alternative_name,ud_name,leipzig_shortcut,ud_shortcut,til_shortcut,wals_shortcut,iso_code,primary_script,primary_script_pct,secondary_script,secondary_script_pct,distinct_words,total_frequency,family,genus,macroarea,latitude,longitude,countries,data_sources
kbp,Kabiyè,Kabiyé,,kbp,,,kbp,kbp,Latin,99.75,,0.0,34065,295374,Niger-Congo,Grusi,Africa,9.66666666667,1.16666666667,Togo,wikipedia
kck,Kalanga,,,kck,,,kck,kck,Latin,100.0,,0.0,3673,14415,Niger-Congo,Bantu,Africa,-20.5,27.5,Botswana; Zimbabwe,community
khk,Halh Mongolian,Khalkha,,khk,,,khk,khk,Cyrillic,95.18,Latin,4.8,37530,297485,Altaic,Mongolic,Eurasia,47.0,105.0,Mongolia,community
khm,Central Khmer,Khmer,,khm,,,khm,khm,Khmer,93.36,Latin,6.61,26069,42361,Austro-Asiatic,Khmer,Eurasia,12.5,105.0,Cambodia,"news, newscrawl, wikipedia"
kin,Kinyarwanda,,,kin,,,kin,kin,Latin,99.95,,0.0,122284,1034507,Niger-Congo,Bantu,Africa,-2.0,30.0,Rwanda,"community, wikipedia"
kir,Kyrgyz,Kirghiz (Fu-Yu),,kir,,ky,kir,kir,Cyrillic,98.27,Latin,1.71,1197418,43144423,Altaic,Turkic,Eurasia,47.75,124.416666667,China,"community, news, newscrawl, web, wikipedia"
kng,Koongo,Fiote,,kng,,,kng,kng,Latin,98.26,Hebrew,1.74,577,1543,Niger-Congo,Bantu,Africa,-5.5,14.0,Democratic Republic of Congo,wikipedia
koi,Komi-Permyak,,Komi_Permyak,koi,Komi_Permyak,,koi,koi,Cyrillic,96.44,Latin,3.44,19531,78941,Uralic,Permic,Eurasia,59.5,54.5,Russia,wikipedia
kom,Komi,,Komi_Zyrian,kom,Komi_Zyrian,,,kom,Cyrillic,96.21,Latin,3.68,27457,110138,,,,,,,wikipedia
krc,Karachay-Balkar,,,krc,,krc,krc,krc,Cyrillic,97.82,Latin,2.06,26733,106639,Altaic,Turkic,Eurasia,43.5,42.0,Russia,"glot500, wikipedia"
ksh,Kölsch,German (Ripuarian),,ksh,,,ksh,ksh,Latin,99.93,,0.0,37709,216728,Indo-European,Germanic,Eurasia,51.0,7.0,Belgium,wikipedia
kur,Kurdish,,Northern_Kurdish,kur,Northern_Kurdish,,,kur,Arabic,98.76,Latin,1.22,221783,1794081,,,,,,,"community, newscrawl, wikipedia"
lad,Ladino,,,lad,,,lad,lad,Latin,99.33,,0.0,28944,213407,Indo-European,Romance,Eurasia,40.0,33.0,Turkey; Israel,wikipedia
lao,Lao,,,lao,,,lao,lao,Lao,94.74,Latin,5.21,32720,204927,Tai-Kadai,Kam-Tai,Eurasia,18.0,103.0,Laos; Thailand,"community, news, newscrawl, wikipedia"
lat,Latin,,,lat,,,,lat,Latin,99.49,,0.0,326347,4404350,,,,,,,"bible, wikipedia"
lav,Latvian,,,lav,,,lav,lav,Latin,99.85,,0.0,328867,9961890,Indo-European,Baltic,Eurasia,57.0,24.0,Latvia,"bible, news, wikipedia"
lbe,Lak,,,lbe,,,lbe,lbe,Cyrillic,93.84,Latin,4.92,5552,13392,Nakh-Daghestanian,Lak,Eurasia,42.1666666667,47.1666666667,Russia,wikipedia
lij,Ligurian,Italian (Genoa),,lij,,,lij,lij,Latin,99.81,,0.0,43868,272466,Indo-European,Romance,Eurasia,44.4166666667,8.95,Italy,wikipedia
lim,Limburgish,,,lim,,,,lim,Latin,99.91,,0.0,188487,2071721,,,,,,,"community, web, wikipedia"
lin,Lingala,,,lin,,,lin,lin,Latin,99.81,,0.0,9722,46517,Niger-Congo,Bantu,Africa,2.0,18.5,Democratic Republic of Congo,wikipedia
lit,Lithuanian,,,lit,,,lit,lit,Latin,99.9,,0.0,1994938,97263725,Indo-European,Baltic,Eurasia,55.0,24.0,Lithuania,"bible, news, newscrawl, wikipedia"
lmo,Lombard,,,lmo,,,,lmo,Latin,99.71,,0.0,96419,1278047,,,,,,,wikipedia
ltg,Latgalian,,,ltg,,,,ltg,Latin,99.79,,0.0,13687,38863,,,,,,,wikipedia
ltz,Luxembourgish,Luxemburgeois,,ltz,,,ltz,ltz,Latin,99.78,,0.0,208287,3377019,Indo-European,Germanic,Eurasia,49.8333333333,6.16666666667,Luxembourg,wikipedia
lug,Ganda,Luganda,,lug,,,lug,lug,Latin,99.98,,0.0,432354,7609079,Niger-Congo,Bantu,Africa,0.5,32.1666666667,Uganda,"community, newscrawl, wikipedia"
lup,Lumbu,,,lup,,,,lup,Latin,100.0,,0.0,20871,92750,,,,,,,"community, web"
lus,Lushai,Mizo,,lus,,,lus,lus,Latin,100.0,,0.0,76271,3250731,Sino-Tibetan,Kuki-Chin,Eurasia,23.1666666667,92.8333333333,Bangladesh; India,"news, newscrawl"
lvs,Standard Latvian,,,lvs,,,,lvs,Latin,99.17,Cyrillic,0.71,284583,3828366,,,,,,,wikipedia
mad,Madurese,,,mad,,,mad,mad,Latin,100.0,,0.0,1369,3378,Austronesian,Malayo-Sumbawan,Papunesia,-7.0,113.5,Indonesia,wikipedia
mah,Marshallese,,,mah,,,mah,mah,Latin,100.0,,0.0,126,249,Austronesian,Oceanic,Papunesia,7.11666666667,171.05,Marshall Islands,wikipedia
mai,Maithili,,,mai,,,mai,mai,Devanagari,98.46,Latin,1.43,43547,273735,Indo-European,Indic,Eurasia,26.0,86.0,India; Nepal,wikipedia
mal,Malayalam,,,mal,,,mal,mal,Malayalam,98.53,Latin,1.39,1210629,7409779,Dravidian,Dravidian,Eurasia,10.0,76.5,India,"bible, community, newscrawl, wikipedia"
mar,Marathi,,,mar,,,mar,mar,Devanagari,98.89,Latin,1.09,1589182,40143133,Indo-European,Indic,Eurasia,19.0,76.0,India,"bible, news, web, wikipedia"
mdf,Moksha,Mordvin (Moksha),,mdf,,,mdf,mdf,Cyrillic,98.6,Latin,1.34,13432,38411,Uralic,Mordvin,Eurasia,54.0,44.0,Russia,wikipedia
