used_shortcut,name,alternative_name,ud_name,leipzig_shortcut,ud_shortcut,til_shortcut,wals_shortcut,iso_code,primary_script,primary_script_pct,secondary_script,secondary_script_pct,distinct_words,total_frequency,family,genus,macroarea,latitude,longitude,countries,data_sources
heb,Hebrew,Hebrew (Modern Ashkenazic),,heb,,,heb,heb,Hebrew,93.93,Latin,5.81,5427804,497595676,Afro-Asiatic,Semitic,Eurasia,31.75,35.1666666667,Israel,"bible, glot500, news, web, wikipedia"
hif,Fiji Hindi,,,hif,,,,hif,Latin,99.77,,0.0,526182,11909669,,,,,,,"glot500, wikipedia"
hil,Hiligaynon,,,,,,hil,hil,Latin,100.0,,0.0,565,1649,Austronesian,Greater Central Philippine,Papunesia,10.25,123.0,Philippines,glot500
hin,Hindi,,,hin,,,hin,hin,Devanagari,83.33,Latin,16.5,4142136,552586610,Indo-European,Indic,Eurasia,25.0,77.0,India,"bible, glot500, news, web, wikipedia"
hmn,,,,,,,,hmn,Latin,97.95,Cyrillic,0.83,1550383,61626477,,,,,,,glot500
hmo,,,,,,,,hmo,Latin,100.0,,0.0,7294,957646,,,,,,,glot500
hne,,,,,,,,hne,Devanagari,93.97,Latin,5.93,32234,314932,,,,,,,glot500
hnj,Hmong Njua,,,,,,hnj,hnj,Latin,100.0,,0.0,509,2615,Hmong-Mien,Hmongic,Eurasia,28.0,105.0,China,glot500
hrv,Croatian (Croatia),,Croatian,hrv,Croatian,,,hrv,Latin,99.82,,0.0,9010643,1136493682,,,,,,,"bible, glot500, news, web, wikipedia"
hrx,,,,,,,,hrx,Latin,100.0,,0.0,728,1848,,,,,,,glot500
hsb,Upper Sorbian,Sorbian (Upper),,hsb,,,hsb,hsb,Latin,99.5,,0.0,518353,9360515,Indo-European,Slavic,Eurasia,51.8333333333,14.5,Germany,"glot500, mixed, news, wikipedia"
hui,,,,,,,,hui,Latin,100.0,,0.0,29029,1122273,,,,,,,glot500
hun,Hungarian,,,hun,,,hun,hun,Latin,99.94,,0.0,18649899,1256924387,Uralic,Ugric,Eurasia,47.0,20.0,Hungary,"bible, glot500, news, newscrawl, web, wikipedia"
hus,Huastec,,,,,,hus,hus,Latin,100.0,,0.0,14763,485897,Mayan,Mayan,North America,22.0833333333,-99.3333333333,Mexico,glot500
hye,Armenian,Armenian (Eastern),,hye,,,hye,hye,Armenian,95.81,Latin,3.77,3611853,90442568,Indo-European,Armenian,Eurasia,40.0,45.0,Armenia,"bible, community, glot500, news, newscrawl, wikipedia"
